Sorghum bicolor	Brachypodium distachyon	Oryza sativa	Panicum virgatum	Setaria italica	Zea mays	
Sobic.001G000100	Bradi2g42460		Pavir.4KG278600, Pavir.4KG276600	Seita.9G000900	GRMZM2G007948
Sobic.002G077200	Bradi5g25284	LOC_Os07g11290, LOC_Os08g09300	Pavir.3KG293600, Pavir.2KG166000, Pavir.2NG128500	Seita.3G150800, Seita.2G083000	GRMZM2G038412
Sobic.002G077400			Pavir.9KG228400, Pavir.2KG165900, Pavir.2NG462900, Pavir.2NG128300, Pavir.2NG128200, Pavir.2KG168500, Pavir.2NG125100, Pavir.J644000, Pavir.5KG564600, Pavir.2KG115300	Seita.2G083100, Seita.2G083400, Seita.5G336900	GRMZM2G469313, GRMZM2G700905
Sobic.002G077500				Seita.2G083200	
Sobic.002G077600					
Sobic.002G077700		LOC_Os08g35310, LOC_Os08g07260	Pavir.2NG129000	Seita.2G083600	
Sobic.002G077900	Bradi1g53920	LOC_Os07g12110	Pavir.2KG165800, Pavir.2NG125000	Seita.2G083500	GRMZM2G151549, GRMZM2G038313
Sobic.002G078000	Bradi1g53910	LOC_Os07g12160	Pavir.2NG124600	Seita.2G083800	GRMZM2G038162
Sobic.002G078100	Bradi1g53890	LOC_Os07g12140	Pavir.2NG124400, Pavir.2KG165200	Seita.2G083900	GRMZM2G361615
Sobic.002G078200	Bradi1g19816	LOC_Os08g20230	Pavir.6NG179600, Pavir.2KG253600, Pavir.9KG003300, Pavir.6KG151700, Pavir.1NG450600, Pavir.7NG240100, Pavir.2KG484700, Pavir.8NG122400, Pavir.8NG193400, Pavir.7KG279900		GRMZM2G037147, GRMZM2G426140, GRMZM2G122379, GRMZM2G180836, GRMZM2G180878, GRMZM2G165126, AC213689.3_FGP003, GRMZM2G314771, GRMZM2G321129, GRMZM2G591258, AC208427.3_FGP002, GRMZM5G858901, GRMZM2G453296, AC190858.3_FGP005, AC213689.3_FGP002, GRMZM2G333361, GRMZM5G897795, GRMZM2G450863, GRMZM2G416310, GRMZM2G166603, GRMZM2G070571, GRMZM2G447941, GRMZM2G014323, GRMZM2G378019, GRMZM2G035893, GRMZM2G321427, GRMZM2G445103, GRMZM2G327099, GRMZM5G825695, GRMZM2G316223, GRMZM2G165082, GRMZM2G575766, GRMZM2G486589, GRMZM2G518756, GRMZM2G364129, GRMZM2G378301, GRMZM2G352824, GRMZM2G334827, GRMZM2G091041, GRMZM2G026110, GRMZM2G422537, GRMZM2G065560, GRMZM2G413290, GRMZM2G355679, GRMZM2G004110, GRMZM2G089609
Sobic.002G078300	Bradi1g53880	LOC_Os07g12150	Pavir.2NG124100, Pavir.2KG164900	Seita.2G084000	
Sobic.002G078400	Bradi1g53867	LOC_Os07g12200	Pavir.2KG164100, Pavir.2NG123700	Seita.2G084100	GRMZM2G105996
Sobic.002G078500			Pavir.3KG087300, Pavir.3NG040200		GRMZM2G404688
Sobic.002G078600			Pavir.3KG087300, Pavir.3NG040200		GRMZM2G404688
Sobic.002G078700			Pavir.3KG087300, Pavir.3NG040200		GRMZM2G404688
Sobic.002G078800	Bradi1g53970	LOC_Os07g12080, LOC_Os07g12090	Pavir.J655900	Seita.2G083300	GRMZM2G304548
Sobic.002G078850		LOC_Os07g12210	Pavir.2KG164500		
Sobic.002G078900			Pavir.5KG246900	Seita.2G084200	
Sobic.002G079000	Bradi1g53857	LOC_Os07g12220	Pavir.J752300, Pavir.2KG163700	Seita.2G084300	GRMZM2G127683, GRMZM2G017634
Sobic.002G079100	Bradi1g53840	LOC_Os11g38900	Pavir.2KG163600, Pavir.4NG246400	Seita.2G084500	AC233961.1_FGP001
Sobic.002G079200	Bradi1g53830	LOC_Os11g04770, LOC_Os12g04580, LOC_Os07g12240			
Sobic.002G079300					
Sobic.002G079400		LOC_Os02g05280	Pavir.9NG087600, Pavir.9NG331000		GRMZM2G433609
Sobic.002G079500		LOC_Os08g35310, LOC_Os08g07260	Pavir.2NG129000	Seita.2G084700	
Sobic.002G079700	Bradi5g21120, Bradi3g48990	LOC_Os01g42980	Pavir.3KG354700, Pavir.5KG414100, Pavir.5NG285100	Seita.9G203600, Seita.5G227000, Seita.9G203500	GRMZM2G163769
Sobic.002G079801					
Sobic.002G079900	Bradi1g53780	LOC_Os07g12330	Pavir.J419900, Pavir.1NG386200	Seita.2G086200	GRMZM2G410033
Sobic.002G080000					
Sobic.002G080100	Bradi1g53770	LOC_Os07g12340	Pavir.2KG162000, Pavir.2NG122400	Seita.2G086600	GRMZM2G079632, GRMZM2G162739
Sobic.002G080150	Bradi4g44265, Bradi1g74565, Bradi1g04125, Bradi3g55805		Pavir.1KG547800, Pavir.9NG320200, Pavir.9NG320300	Seita.7G304100	
Sobic.002G080200		LOC_Os07g12480	Pavir.2NG122300	Seita.2G086700	
Sobic.002G080400	Bradi2g54206	LOC_Os01g66660	Pavir.2KG497200		GRMZM2G149646
Sobic.002G080450					
Sobic.002G080500			Pavir.2KG161800, Pavir.2NG122200, Pavir.2KG161700	Seita.2G086800	GRMZM2G472100
Sobic.002G080600			Pavir.2KG161800, Pavir.2NG122200, Pavir.2KG161700	Seita.2G086800	GRMZM2G472100
Sobic.002G080700			Pavir.2KG161800, Pavir.2NG122200, Pavir.2KG161700	Seita.2G086800	GRMZM2G472096
Sobic.002G080900		LOC_Os01g42560, LOC_Os07g23230, LOC_Os01g42580, LOC_Os01g31120, LOC_Os06g25870, LOC_Os03g34320, LOC_Os05g02290, LOC_Os05g44840, LOC_Os11g02920, LOC_Os01g27560, LOC_Os06g11470, LOC_Os10g20670, LOC_Os04g26280, LOC_Os03g33930, LOC_Os03g44460, LOC_Os02g18890, LOC_Os02g34330, LOC_Os12g12440, LOC_Os07g39150, LOC_Os06g49900, LOC_Os05g13400, LOC_Os01g21350, LOC_Os06g29640			
Sobic.002G081000			Pavir.2KG161800, Pavir.2NG122200, Pavir.2KG161700	Seita.2G086800	GRMZM2G472100
Sobic.002G081050					
Sobic.002G081100	Bradi1g53760	LOC_Os07g12490	Pavir.2KG161600, Pavir.2NG130300	Seita.2G088000	GRMZM2G063643, GRMZM2G472052
Sobic.002G081300					
Sobic.002G081400	Bradi2g36950	LOC_Os07g12530	Pavir.2NG104400, Pavir.2KG161400	Seita.2G088100	GRMZM2G031780
Sobic.002G081500	Bradi1g53747	LOC_Os07g12640	Pavir.2KG161200, Pavir.2NG104600	Seita.2G088200	GRMZM2G063258
Sobic.002G081600	Bradi1g06520, Bradi1g53740	LOC_Os07g12650, LOC_Os07g05580	Pavir.1NG272600, Pavir.2NG104700	Seita.2G088300	GRMZM2G063340, GRMZM2G139900
Sobic.002G081700		LOC_Os12g36690, LOC_Os12g36720, LOC_Os12g33160	Pavir.2KG160800, Pavir.J505000		
Sobic.002G081800		LOC_Os12g36690, LOC_Os12g36720, LOC_Os12g33160	Pavir.2NG104800, Pavir.2NG134600, Pavir.2KG127200		
Sobic.002G081850		LOC_Os07g12680	Pavir.2KG151300, Pavir.2NG105100, Pavir.J556300		
Sobic.002G081900	Bradi1g53730	LOC_Os07g12710	Pavir.J411700, Pavir.2NG105200, Pavir.2KG150200, Pavir.2KG148100	Seita.2G088400	GRMZM2G138943
Sobic.002G082000	Bradi2g38270	LOC_Os09g07460	Pavir.2NG293600, Pavir.8NG319000, Pavir.8NG303500, Pavir.8KG199400, Pavir.8KG381000	Seita.2G154400	GRMZM2G165098
Sobic.002G082100	Bradi2g42740, Bradi2g14510	LOC_Os10g35450	Pavir.5NG561700, Pavir.J609400, Pavir.2NG105300, Pavir.2KG148000	Seita.3G123700, Seita.2G088500	GRMZM2G026301
Sobic.002G082300	Bradi1g53720	LOC_Os07g12720	Pavir.2KG147900, Pavir.2NG100600	Seita.2G088600	GRMZM2G107065, GRMZM2G333095
Sobic.002G082350					
Sobic.002G082400	Bradi1g53710	LOC_Os07g12730	Pavir.2KG147600	Seita.2G089600, Seita.2G089000	GRMZM2G107096
Sobic.002G082500	Bradi1g53710	LOC_Os07g12730	Pavir.2NG101000	Seita.2G089400	
Sobic.002G082600	Bradi1g53710	LOC_Os07g12730	Pavir.2KG147400	Seita.2G090000	GRMZM5G876616
Sobic.002G082700	Bradi1g53710	LOC_Os07g12730	Pavir.2NG101000		
Sobic.002G082800	Bradi1g53710	LOC_Os07g12730		Seita.2G089300, Seita.2G090100	
Sobic.002G082900	Bradi1g53700, Bradi4g27230	LOC_Os07g12770	Pavir.2KG146400, Pavir.2NG101200	Seita.2G090200	GRMZM2G173967
Sobic.002G082950					
Sobic.002G083000	Bradi1g53670	LOC_Os07g12900	Pavir.2NG101500, Pavir.2KG159000, Pavir.2KG145700	Seita.2G090300	GRMZM2G175576
Sobic.002G083100	Bradi1g34140		Pavir.2NG101700	Seita.2G090500	AC205008.4_FGP002, GRMZM2G455491
Sobic.002G083200	Bradi1g53680	LOC_Os07g12890	Pavir.2KG146700	Seita.2G090600	GRMZM2G093276
Sobic.002G083266	Bradi5g14190	LOC_Os07g12830	Pavir.9NG076900, Pavir.9NG040000, Pavir.2KG146500, Pavir.2NG389400	Seita.2G090700, Seita.9G054700	GRMZM2G152438
Sobic.002G083332					
Sobic.002G083400	Bradi1g53660	LOC_Os07g12910	Pavir.2KG145300, Pavir.2NG102200	Seita.2G090800	GRMZM2G047316
Sobic.002G083500		LOC_Os04g12990, LOC_Os04g13040	Pavir.2KG144800, Pavir.2KG158500, Pavir.2KG145000, Pavir.2KG144900, Pavir.2KG145100, Pavir.2KG149800, Pavir.2KG158600, Pavir.2KG144500	Seita.2G091000, Seita.2G090900	
Sobic.002G083600	Bradi1g53650	LOC_Os07g13170	Pavir.2KG144300, Pavir.2NG102600	Seita.2G091100	GRMZM2G176175
Sobic.002G083700					
Sobic.002G083800	Bradi4g09340, Bradi1g53640	LOC_Os11g47710, LOC_Os07g13270	Pavir.8NG306900, Pavir.8KG393700, Pavir.2KG144200, Pavir.2NG102800	Seita.8G248400, Seita.2G091300	GRMZM2G069005
Sobic.002G083900	Bradi1g53620	LOC_Os07g13280	Pavir.2NG103500, Pavir.2KG143900	Seita.2G091500	GRMZM2G019251, GRMZM2G140352
Sobic.002G084100					
Sobic.002G084200	Bradi3g35805	LOC_Os07g13380, LOC_Os07g13310, LOC_Os07g13440, LOC_Os07g13450	Pavir.2KG143800, Pavir.2NG103600	Seita.2G091600	GRMZM2G397242
Sobic.002G084300			Pavir.2NG103700		
Sobic.002G084400	Bradi1g53600	LOC_Os07g13540	Pavir.2KG143300, Pavir.6KG196100	Seita.2G091900	GRMZM2G096602
Sobic.002G084500	Bradi1g55840	LOC_Os07g13534	Pavir.2KG143400, Pavir.2NG103900	Seita.2G091800	GRMZM2G102985, GRMZM2G096604
Sobic.002G084600					
Sobic.002G084700	Bradi1g53590	LOC_Os07g13580	Pavir.2NG105400	Seita.2G092000	
Sobic.002G084800	Bradi1g53580	LOC_Os07g13590	Pavir.2KG143100, Pavir.2NG105500	Seita.2G092100	GRMZM2G180172
Sobic.002G084900	Bradi1g53567	LOC_Os07g13600	Pavir.2NG105600	Seita.2G092300	GRMZM2G464013
Sobic.002G085000					GRMZM2G421970
Sobic.002G085100	Bradi1g53560	LOC_Os07g13634	Pavir.2KG143000, Pavir.2NG631800	Seita.2G092400	GRMZM2G463996
Sobic.002G085200	Bradi1g53550	LOC_Os07g13660		Seita.2G092700	GRMZM5G892627, GRMZM2G156127
Sobic.002G085300	Bradi1g53540	LOC_Os07g13770	Pavir.2NG631900, Pavir.2KG142900	Seita.2G093000, Seita.2G092900, Seita.2G093100	
Sobic.002G085400	Bradi1g53527, Bradi4g41410	LOC_Os07g13800	Pavir.9NG420000	Seita.2G093300	GRMZM2G117878
Sobic.002G085500	Bradi1g10281, Bradi5g24281	LOC_Os02g22440, LOC_Os01g23000	Pavir.7KG422700, Pavir.7KG422600, Pavir.1KG122800, Pavir.J774500, Pavir.8KG296200		GRMZM2G301145, GRMZM2G026251, GRMZM2G412353, GRMZM2G344750, GRMZM5G854798, GRMZM5G806888, GRMZM5G801669, GRMZM2G373195, GRMZM5G883269, GRMZM2G337045
Sobic.002G085600					
Sobic.002G085700	Bradi1g53540	LOC_Os07g13770	Pavir.J331000	Seita.2G093200	GRMZM2G173926, GRMZM2G047910
Sobic.002G085800	Bradi1g53520	LOC_Os07g13810	Pavir.2NG106100, Pavir.2NG631700, Pavir.2KG142700	Seita.2G093600	GRMZM5G815665
Sobic.002G085900	Bradi3g22595, Bradi3g22590	LOC_Os10g08780	Pavir.9NG386900, Pavir.9KG276300, Pavir.9NG414800	Seita.9G281100, Seita.9G281200	GRMZM2G474555
Sobic.002G086200					
Sobic.002G086300			Pavir.9NG567400, Pavir.J132300		GRMZM2G418031
Sobic.002G086400			Pavir.J114800		
Sobic.002G086500	Bradi1g28366	LOC_Os10g19334	Pavir.6NG267500, Pavir.6KG161900		
Sobic.002G086700					
Sobic.002G086800	Bradi3g11170		Pavir.1NG202000, Pavir.8NG155000, Pavir.8KG150800	Seita.1G156700	GRMZM2G054120, AC233908.1_FGP001
Sobic.002G086900					
Sobic.002G087000	Bradi2g33390, Bradi2g05660	LOC_Os05g09490	Pavir.5NG038100, Pavir.5KG695400, Pavir.J182600	Seita.5G134700, Seita.5G412800, Seita.3G109500	GRMZM2G074549
Sobic.002G087200		LOC_Os07g13930	Pavir.2NG107500, Pavir.3NG060200, Pavir.2NG106500, Pavir.9KG271700, Pavir.9NG419900	Seita.2G093700, Seita.2G141200	
Sobic.002G087400					GRMZM2G421970
Sobic.002G087500			Pavir.2NG107100, Pavir.2KG142000, Pavir.2KG139500, Pavir.2NG107200		GRMZM2G047713, GRMZM2G173809
Sobic.002G087600		LOC_Os07g13930	Pavir.2NG107500, Pavir.3NG060200, Pavir.2NG106500, Pavir.9KG271700, Pavir.9NG419900	Seita.2G093700, Seita.2G141200	
Sobic.002G087700					
Sobic.002G087800	Bradi5g04340, Bradi1g36300, Bradi1g36310		Pavir.2KG131900, Pavir.2NG110600		
Sobic.002G087900	Bradi2g31120	LOC_Os05g23610	Pavir.6KG175800, Pavir.6NG181200	Seita.6G097300	
Sobic.002G088000	Bradi1g53520	LOC_Os07g13810	Pavir.2KG141300, Pavir.2NG107600	Seita.2G094600	GRMZM2G097030
Sobic.002G088100				Seita.2G094700	
Sobic.002G088200	Bradi1g03340	LOC_Os07g13969	Pavir.2NG107800, Pavir.2KG141100	Seita.2G094800	GRMZM2G346757, GRMZM2G475257, GRMZM2G487136, GRMZM2G058364, GRMZM2G348301
Sobic.002G088300	Bradi3g45550, Bradi1g58980	LOC_Os01g25340, LOC_Os07g02630, LOC_Os07g02660, LOC_Os07g02570, LOC_Os07g02590, LOC_Os07g02624, LOC_Os07g02640, LOC_Os07g02610, LOC_Os07g02560, LOC_Os07g02530	Pavir.3KG446300, Pavir.3NG190200, Pavir.3KG446200	Seita.2G006400	
Sobic.002G088400	Bradi1g51970	LOC_Os06g01950	Pavir.J537500, Pavir.3KG110300, Pavir.J158500	Seita.4G006200	GRMZM2G367638
Sobic.002G088500	Bradi3g45550, Bradi1g58980	LOC_Os01g25340, LOC_Os07g02630, LOC_Os07g02660, LOC_Os07g02570, LOC_Os07g02590, LOC_Os07g02624, LOC_Os07g02640, LOC_Os07g02610, LOC_Os07g02560, LOC_Os07g02530	Pavir.3KG446300, Pavir.3NG190200, Pavir.3KG446200	Seita.2G006400	
Sobic.002G088600	Bradi1g53500	LOC_Os07g13980	Pavir.2KG141000, Pavir.2KG139200	Seita.2G094900	GRMZM2G144002
Sobic.002G088700	Bradi1g53490	LOC_Os07g14090	Pavir.2NG108000, Pavir.2KG139000, Pavir.2KG140800	Seita.2G095000	GRMZM2G035445
Sobic.002G088800	Bradi1g53482	LOC_Os07g14100	Pavir.2NG108100, Pavir.2KG140700	Seita.2G095100	GRMZM2G333142
Sobic.002G088900	Bradi4g14620, Bradi4g14640		Pavir.2KG105300, Pavir.2NG077900, Pavir.J404500, Pavir.2KG080700	Seita.2G014300, Seita.2G074900, Seita.2G074700, Seita.2G075300, Seita.2G075100, Seita.J023300, Seita.2G075200, Seita.J023400, Seita.J023200, Seita.2G074600, Seita.J023600, Seita.9G133400	
Sobic.002G089100	Bradi4g14620, Bradi4g14640		Pavir.2KG105300, Pavir.2NG077900, Pavir.J404500, Pavir.2KG080700	Seita.2G014300, Seita.2G074900, Seita.2G074700, Seita.2G075300, Seita.2G075100, Seita.J023300, Seita.2G075200, Seita.J023400, Seita.J023200, Seita.2G074600, Seita.J023600, Seita.9G133400	
Sobic.002G089200		LOC_Os07g14130	Pavir.2KG140300, Pavir.2KG138400, Pavir.2NG108200	Seita.2G095200	GRMZM2G343236, GRMZM2G129092, GRMZM2G164929
Sobic.002G089300	Bradi1g53450	LOC_Os07g14140	Pavir.2KG138300, Pavir.2KG140200, Pavir.2NG108300	Seita.2G095300	
Sobic.002G089400	Bradi1g56916, Bradi1g56893, Bradi1g56896	LOC_Os03g03810	Pavir.2KG140100, Pavir.2NG108400, Pavir.2KG138200	Seita.2G095500	GRMZM2G046532
Sobic.002G089500	Bradi1g56916, Bradi1g56893, Bradi1g56896	LOC_Os03g03810	Pavir.2KG140100, Pavir.2NG108400, Pavir.2KG138200	Seita.2G095500	GRMZM2G046532
Sobic.002G089600	Bradi1g56916, Bradi1g56893, Bradi1g56896	LOC_Os03g03810	Pavir.2KG140100, Pavir.2NG108400, Pavir.2KG138200	Seita.2G095500	GRMZM2G046532
Sobic.002G089700		LOC_Os06g30640		Seita.6G176900	AC186603.6_FGP003
Sobic.002G089900			Pavir.2KG109500	Seita.2G067100, Seita.2G064400	GRMZM2G082964, GRMZM2G135002, GRMZM2G152290, GRMZM2G083000
Sobic.002G090100					
Sobic.002G090200		LOC_Os07g14150	Pavir.2NG108500, Pavir.2KG138000, Pavir.2KG139900	Seita.2G095700	GRMZM2G008216, GRMZM2G082924
Sobic.002G090300			Pavir.2NG108600, Pavir.2NG108700	Seita.2G095900	GRMZM2G173063, GRMZM2G138600
Sobic.002G090400	Bradi1g53430	LOC_Os07g14160	Pavir.2KG137800	Seita.2G096000	GRMZM2G057296
Sobic.002G090500			Pavir.3KG354600, Pavir.J229500	Seita.J030900	GRMZM2G358059, GRMZM2G074687
Sobic.002G090600					
Sobic.002G090700	Bradi1g02960, Bradi1g53420	LOC_Os03g61630, LOC_Os07g14280	Pavir.2NG106400, Pavir.2NG109200, Pavir.2KG137400	Seita.2G096100	GRMZM2G074567, GRMZM6G700127
Sobic.002G090800	Bradi1g53410	LOC_Os07g14310	Pavir.2KG137600, Pavir.2NG109500, Pavir.2NG111700, Pavir.2NG109000, Pavir.2KG137300	Seita.2G096200	GRMZM2G092648
Sobic.002G090900	Bradi5g21447		Pavir.9KG355900, Pavir.9NG403000	Seita.9G272200	AC218998.2_FGP001, GRMZM2G122498
Sobic.002G091000					
Sobic.002G091100					
Sobic.002G091200	Bradi1g53380	LOC_Os07g14340	Pavir.2KG137000, Pavir.2NG111900, Pavir.2NG109700	Seita.2G096400	GRMZM2G482245, GRMZM2G078886
Sobic.002G091300	Bradi1g53380	LOC_Os07g14340	Pavir.2KG136500, Pavir.2KG134900, Pavir.2NG112300, Pavir.2NG110300	Seita.2G096500	GRMZM2G078804
Sobic.002G091400	Bradi1g14900, Bradi1g07930	LOC_Os03g55230, LOC_Os03g55250, LOC_Os03g55260, LOC_Os03g55240		Seita.9G083500	GRMZM2G118809, GRMZM2G154870, GRMZM2G154828
Sobic.002G091500	Bradi4g09007			Seita.2G096600	
Sobic.002G091600	Bradi1g53360, Bradi4g37046	LOC_Os07g14350	Pavir.2KG134700, Pavir.2KG136400, Pavir.2NG110400, Pavir.2NG112400	Seita.2G096700	GRMZM2G162374, GRMZM6G105548
Sobic.002G091700	Bradi3g46070		Pavir.2KG134400, Pavir.2KG136100	Seita.2G096800	
Sobic.002G091800	Bradi1g78703		Pavir.8NG103900, Pavir.J463700	Seita.9G580400	GRMZM2G156794
Sobic.002G091900					
Sobic.002G092050	Bradi1g53347	LOC_Os07g14530	Pavir.2NG113600, Pavir.2KG134300, Pavir.2KG136000	Seita.2G096900	GRMZM2G086757
Sobic.002G092200	Bradi1g53340	LOC_Os07g14540	Pavir.2KG134200, Pavir.2KG135900, Pavir.2NG113700	Seita.2G097000	GRMZM2G005641, GRMZM2G130052
Sobic.002G092300	Bradi1g53217	LOC_Os07g14830	Pavir.2NG113900, Pavir.2KG134100, Pavir.2KG135800	Seita.2G097100	GRMZM2G320920
Sobic.002G092400	Bradi1g53237, Bradi1g44881, Bradi1g53250	LOC_Os07g14750, LOC_Os07g28710, LOC_Os08g15180	Pavir.2KG135500, Pavir.2KG133800	Seita.2G097600	GRMZM2G360761, GRMZM2G160517
Sobic.002G092500	Bradi1g53260	LOC_Os07g14740	Pavir.2KG133700, Pavir.2KG135400, Pavir.2NG114300, Pavir.2NG116400	Seita.2G097800	
Sobic.002G092600			Pavir.2NG116300, Pavir.2KG135300, Pavir.2KG133600	Seita.2G097900	GRMZM2G484706
Sobic.002G092700	Bradi1g53290	LOC_Os07g14700	Pavir.2NG116200	Seita.2G098100	GRMZM2G303829
Sobic.002G092801	Bradi1g53270	LOC_Os07g14660	Pavir.2NG116100, Pavir.2KG133300	Seita.2G098200	GRMZM2G357112
Sobic.002G092901					
Sobic.002G093000	Bradi1g53300	LOC_Os07g14650	Pavir.2KG133200, Pavir.2NG115700	Seita.2G098300	GRMZM2G003754
Sobic.002G093150	Bradi4g45247	LOC_Os08g34100, LOC_Os05g07930, LOC_Os05g41050, LOC_Os03g44600	Pavir.4NG294100, Pavir.9NG314800, Pavir.4KG106500, Pavir.7KG060500, Pavir.5KG530700, Pavir.5KG547600, Pavir.9NG380000, Pavir.1NG266800, Pavir.J545100		
Sobic.002G093300	Bradi1g53310		Pavir.J031800, Pavir.2NG115500	Seita.2G098700	GRMZM2G003789
Sobic.002G093400				Seita.2G098500	
Sobic.002G093500	Bradi1g53320	LOC_Os07g14590	Pavir.2NG115400, Pavir.2KG132900	Seita.2G098800	GRMZM2G016958
Sobic.002G093600	Bradi4g39920, Bradi4g39910	LOC_Os12g12720, LOC_Os12g14440, LOC_Os12g09700, LOC_Os12g09720	Pavir.2NG115300, Pavir.2KG132800, Pavir.8NG091400		GRMZM2G402417, GRMZM2G172204
Sobic.002G093700	Bradi4g39920, Bradi4g39910	LOC_Os12g12720, LOC_Os12g14440, LOC_Os12g09700, LOC_Os12g09720	Pavir.2NG115300, Pavir.2KG132800, Pavir.8NG091400		GRMZM2G402417, GRMZM2G172204
Sobic.002G093800	Bradi4g39920, Bradi4g39910	LOC_Os12g12720, LOC_Os12g14440, LOC_Os12g09700, LOC_Os12g09720	Pavir.2NG115300, Pavir.2KG132800, Pavir.8NG091400		GRMZM2G402417, GRMZM2G172204
Sobic.002G093900	Bradi1g53330	LOC_Os07g14580	Pavir.2NG115200, Pavir.2KG132500	Seita.2G099100	GRMZM2G101596, GRMZM2G144618
Sobic.002G094000		LOC_Os11g02980, LOC_Os06g29870, LOC_Os12g18910, LOC_Os06g25660, LOC_Os11g19030, LOC_Os10g06890, LOC_Os10g24020, LOC_Os06g29880, LOC_Os06g28250, LOC_Os10g16500	Pavir.2NG227500	Seita.4G073300, Seita.7G070700, Seita.3G313300, Seita.5G181900, Seita.5G232800	
Sobic.002G094100					
Sobic.002G094400			Pavir.2KG186200	Seita.3G347700	
Sobic.002G094500	Bradi5g18660	LOC_Os04g48200, LOC_Os11g18570, LOC_Os07g29960	Pavir.2KG131700, Pavir.2NG110700	Seita.8G166400	
Sobic.002G094600	Bradi1g29060, Bradi1g53207	LOC_Os07g14850	Pavir.2KG131600	Seita.2G099400	GRMZM2G177631, GRMZM2G082580
Sobic.002G094700					
Sobic.002G094800	Bradi1g53200	LOC_Os07g14910	Pavir.2KG131000, Pavir.2NG111100	Seita.2G099600	GRMZM5G898371
Sobic.002G094900		LOC_Os02g20130	Pavir.6NG157300	Seita.6G033900	GRMZM2G097719
Sobic.002G095000		LOC_Os02g20130	Pavir.6NG157300	Seita.6G033900	GRMZM2G097719
Sobic.002G095100	Bradi1g53190	LOC_Os07g15270	Pavir.2NG111200, Pavir.2KG130900	Seita.2G099700	GRMZM2G390876
Sobic.002G095200	Bradi1g53182	LOC_Os07g15280	Pavir.2KG130800, Pavir.2NG111300	Seita.2G099800	GRMZM2G091031
Sobic.002G095300			Pavir.2KG130700	Seita.2G099900	
Sobic.002G095400	Bradi1g53160	LOC_Os07g15370	Pavir.2NG096800	Seita.2G100300	GRMZM2G147560
Sobic.002G095600	Bradi1g53150	LOC_Os07g15460	Pavir.2NG096500	Seita.2G100400	GRMZM2G366919
Sobic.002G095700	Bradi1g53140	LOC_Os07g15490	Pavir.2NG096400	Seita.2G100600	GRMZM2G320703
Sobic.002G095800	Bradi1g53132	LOC_Os07g15500	Pavir.2NG096300, Pavir.2KG148400	Seita.2G100700	GRMZM2G035574
Sobic.002G095900					
Sobic.002G096000	Bradi1g24010	LOC_Os06g23114	Pavir.J379900		
Sobic.002G096101					
Sobic.002G096201					
Sobic.002G096300					
Sobic.002G096400		LOC_Os10g19892, LOC_Os10g19902, LOC_Os10g19904, LOC_Os10g19898			AC215875.3_FGP001, GRMZM2G079962
Sobic.002G096501					
Sobic.002G096600	Bradi1g62561, Bradi1g55067			Seita.2G016000, Seita.2G016100	
Sobic.002G096700			Pavir.2KG023000, Pavir.2NG375700	Seita.2G015900	GRMZM2G033014, AC191704.3_FGP007
Sobic.002G096800	Bradi1g62561, Bradi1g55067		Pavir.2KG113100, Pavir.2KG203100, Pavir.2NG079200, Pavir.2KG105200, Pavir.2KG105000, Pavir.2NG077800, Pavir.2KG104800, Pavir.2NG375900, Pavir.7NG095400, Pavir.3KG507600, Pavir.2KG023200, Pavir.7NG070000	Seita.4G127500, Seita.2G015600	
Sobic.002G096900					
Sobic.002G097000	Bradi1g58920	LOC_Os07g02710	Pavir.3KG302300, Pavir.2KG525100, Pavir.2KG226700	Seita.2G014200	GRMZM2G015739
Sobic.002G097100	Bradi3g18745	LOC_Os07g13900	Pavir.2NG009700, Pavir.2KG067800	Seita.2G012300, Seita.2G087300, Seita.2G012100, Seita.2G014700, Seita.2G012900	GRMZM2G405844
Sobic.002G097200	Bradi3g18745	LOC_Os07g13900	Pavir.4NG036300		GRMZM2G405844
Sobic.002G097300	Bradi3g18745	LOC_Os07g13900			GRMZM2G405844
Sobic.002G097400			Pavir.3KG397200	Seita.6G034900	
Sobic.002G097500			Pavir.6NG088900, Pavir.6KG090100, Pavir.6KG090200	Seita.6G034900	
Sobic.002G097601	Bradi3g21431	LOC_Os05g40660, LOC_Os03g24960, LOC_Os03g24990	Pavir.9NG524500, Pavir.4NG125600, Pavir.4KG210500		
Sobic.002G097700			Pavir.2NG189600, Pavir.2NG020100, Pavir.J724900, Pavir.2KG020300, Pavir.2NG019900, Pavir.2NG020000, Pavir.2KG187200, Pavir.2NG189800, Pavir.2KG020700, Pavir.2NG189200, Pavir.2KG187100, Pavir.2NG020300, Pavir.2KG187600, Pavir.2KG187000, Pavir.2NG189500, Pavir.2NG019800, Pavir.2KG020200, Pavir.2KG021000, Pavir.7NG159100, Pavir.2NG190100, Pavir.2KG216200, Pavir.2KG027400, Pavir.2KG187300, Pavir.2NG189900, Pavir.2KG021200, Pavir.2KG019400, Pavir.2KG024400, Pavir.J681100	Seita.2G017400, Seita.9G387400, Seita.8G217700, Seita.2G018400, Seita.2G017200, Seita.2G067200, Seita.2G067300, Seita.2G018200, Seita.2G017800, Seita.2G017300, Seita.2G067400, Seita.8G217600, Seita.2G018000, Seita.2G017100	
